iter	F1	Logloss
88	0.9251668255	0.2012606281
89	0.9250744491	0.2004325821
90	0.9255509232	0.1992307467
91	0.9262656343	0.1981388675
92	0.9265213767	0.1968621328
93	0.9277638938	0.195511223
94	0.9288264699	0.1948657595
95	0.9295070255	0.1938004812
96	0.9300940812	0.1928545387
97	0.9310468024	0.1913766215
98	0.9312686123	0.1907172735
99	0.931252234	0.1897787105
100	0.9315852205	0.1889746213
101	0.9322699679	0.1876224276
102	0.9322538397	0.1863571879
103	0.9330154946	0.1852724103
104	0.932983544	0.1844444747
105	0.9342403628	0.18302696
106	0.9347177467	0.1822315209
107	0.9350680353	0.1812751052
108	0.9355608592	0.1806830231
109	0.9355916031	0.1796393346
110	0.9359265004	0.1789247531
111	0.9363885905	0.1780778327
112	0.9374403056	0.1767216671
113	0.9388145315	0.1753183008
114	0.9396149707	0.1745274754
115	0.9401770759	0.1737452283
116	0.9406698565	0.1726955058
117	0.9408666507	0.1718489886
118	0.9411201532	0.1709843822
119	0.9417254996	0.1702968135
120	0.9418521177	0.1694683617
121	0.9418382001	0.1686728692
122	0.9433014354	0.1674507084
123	0.9436535471	0.1664568398
124	0.9446238488	0.165389466
125	0.944823459	0.1645808987
126	0.9451497006	0.1639490548
127	0.9458812261	0.1629039359
128	0.9460074225	0.1614263968
129	0.9460074225	0.1602463789
130	0.9470658683	0.1591009849
131	0.9482882452	0.1578380091
132	0.9486412068	0.1569217781
133	0.9491078913	0.1560669489
134	0.9490957001	0.1555367872
135	0.9490957001	0.1545786597
136	0.9499401198	0.1535489285
137	0.9512516469	0.1526604759
138	0.9517538609	0.1521059491
139	0.9519817986	0.1510406122
140	0.9523239099	0.150153803
141	0.9528946422	0.149418604
142	0.9542186002	0.1486982932
143	0.9546871254	0.147872431
144	0.9556248501	0.1469230515
145	0.9564904711	0.1459353274
146	0.9564800384	0.1453382872
147	0.956240259	0.1447565007
148	0.9572096368	0.1439056294
149	0.9579187148	0.1430113234
150	0.95817855	0.1422278899
151	0.9588679698	0.1412019924
152	0.9591078067	0.140575005
153	0.9593671341	0.1398696627
154	0.95983695	0.1390230234
155	0.9605657437	0.1381436746
156	0.9605562882	0.1371163389
157	0.9612756264	0.1362383345
158	0.9622437972	0.1347968809
159	0.962732175	0.1339600555
160	0.9630783985	0.1332574473
161	0.9634336411	0.1325261663
162	0.9635578998	0.1319438959
163	0.9636821287	0.1313751203
164	0.9637976504	0.1308947657
165	0.964028777	0.1305735342
166	0.9643927587	0.1299976465
167	0.9643756747	0.1292174004
168	0.9649712092	0.1287173498
169	0.9650869826	0.1284941226
170	0.9648385935	0.128003672
171	0.9659063625	0.1275109073
172	0.9673469388	0.1263824247
173	0.9671147384	0.1255695573
174	0.9667586703	0.1248458922
175	0.9672386895	0.1242555742
176	0.9679587183	0.1236632153
177	0.9690052859	0.1228668913
178	0.9692603266	0.1219926626
179	0.9692529426	0.1215484573
180	0.9697333654	0.1211607269
181	0.9699663623	0.1204766041
182	0.9702066314	0.11992817
183	0.9703445792	0.1193201764
184	0.970475276	0.118780574
185	0.9709483794	0.1186219015
186	0.9709553529	0.1179911127
187	0.9710788432	0.1171766547
188	0.9720254532	0.116417466
189	0.9723823247	0.1157005516
190	0.9724990993	0.1152170514
191	0.9737063273	0.1143609579
192	0.9739527068	0.1137086236
193	0.974543708	0.1128167155
194	0.9749009247	0.1121152136
195	0.9747717444	0.1117472399
196	0.9748888622	0.1113321823
197	0.9750120135	0.1109674143
198	0.9753694581	0.1106287153
199	0.9756156156	0.1103865748
200	0.9758500541	0.1097785351
201	0.97633065	0.1092548028
202	0.9768168168	0.1084039944
203	0.9774201297	0.1077368841
204	0.9775375375	0.1072129628
205	0.9778899303	0.1066326093
206	0.9782582583	0.1061789406
207	0.9785036628	0.1058057509
208	0.9787387387	0.1052804929
209	0.9788563191	0.1050394278
210	0.978978979	0.1044263324
211	0.9787336297	0.103908379
212	0.978861398	0.1035471869
213	0.9791066282	0.1032172526
214	0.9792242104	0.1027706902
215	0.9794643929	0.1025547352
216	0.9802979337	0.1021089414
217	0.9802979337	0.1016813318
218	0.981018741	0.1010475169
219	0.9809009009	0.1006965161
220	0.9811411411	0.1002997684
221	0.9811411411	0.09980148109
222	0.9817395483	0.09926921034
223	0.9813769074	0.09877220216
224	0.9814992792	0.09843456834
225	0.9817351598	0.09777869538
226	0.9822072614	0.09734781735
227	0.9825742098	0.09704485316
228	0.9828186952	0.09634683292
229	0.9836695485	0.09590039203
230	0.9835435435	0.0956530467
231	0.9835435435	0.09511851348
232	0.9836617011	0.09464439983
233	0.984024024	0.09413742185
234	0.9842642643	0.0934934762
235	0.9846227775	0.09312948163
236	0.9847447447	0.09297822871
237	0.9845045045	0.09275486138
238	0.9849885913	0.09236993478
239	0.9847447447	0.09170441342
240	0.9851033157	0.09118779585
241	0.9854584785	0.09066881508
242	0.9853365385	0.09050804158
243	0.9852145691	0.08999907919
244	0.9855769231	0.08918226595
245	0.9861762231	0.08851978213
246	0.9859358096	0.08821962673
247	0.9868911606	0.08759940732
248	0.9865352248	0.08711778925
249	0.9867756672	0.08658488626
250	0.9872534873	0.08596540607
251	0.9873752555	0.08546270258
252	0.9873782907	0.0851375569
253	0.9878532772	0.08485186055
254	0.9877344877	0.08464642781
255	0.9871378771	0.08435163104
256	0.9873782907	0.08411946555
257	0.9878532772	0.08363319868
258	0.9879720953	0.08342807054
259	0.987974988	0.08292989594
260	0.9884532115	0.08249182672
261	0.9882069795	0.0820748472
262	0.9884504331	0.08157624276
263	0.9886937695	0.0811323319
264	0.988812703	0.08094538074
265	0.988812703	0.08065108715
266	0.9889316651	0.08045539235
267	0.9892913007	0.07987330379
268	0.9892913007	0.07960069364
269	0.9895344641	0.0790467832
270	0.9896510229	0.07864179111
271	0.9898916968	0.07819464034
272	0.9897701288	0.07787212005
273	0.9897701288	0.07772957052
274	0.9902515345	0.07746853793
275	0.9901323706	0.07734119661
276	0.9904922373	0.07698802328
277	0.9903730445	0.07662347461
278	0.9909714698	0.07622249109
279	0.9909714698	0.07596390215
280	0.9912101144	0.07578444132
281	0.9912101144	0.07558729923
282	0.9912101144	0.07531580171
283	0.9912122306	0.07494694642
284	0.9912122306	0.07468030365
285	0.9912122306	0.07444393188
286	0.9913315675	0.07415863341
287	0.9915703276	0.07395561594
288	0.9914509332	0.07360294745
289	0.9918111753	0.07326306075
290	0.9919306275	0.07282825344
291	0.9919345131	0.07253495109
292	0.9920558498	0.07233806789
293	0.9921752739	0.07182587939
294	0.9922947267	0.07136756445
295	0.99253192	0.07095257147
296	0.9924123811	0.0706539093
297	0.9922910142	0.07039166659
298	0.993490839	0.06980442361
299	0.9933694997	0.06946279159
